Age,Word,C_freq,ld,dd,pkc
30,banana,1359,0.594000000, 0.100484517,0.807289726
16,basement,27,0.082000000, 0.004423847,0.054294357
17,basement,27,0.082000000, 0.004423847,0.062518563
18,basement,37,0.094000000, 0.005266484,0.102744442
19,basement,37,0.094000000, 0.005266484,0.144554191
20,basement,37,0.094000000, 0.005266484,0.161976604
21,basement,43,0.096000000, 0.005898462,0.192313320
22,basement,45,0.098000000, 0.006109122,0.286941748
23,basement,45,0.098000000, 0.006109122,0.340806344
24,basement,64,0.126000000, 0.008426375,0.378318908
25,basement,68,0.128000000, 0.008637034,0.428340147
26,basement,72,0.130000000, 0.009269012,0.502602080
27,basement,79,0.140000000, 0.009690331,0.538894505
28,basement,80,0.142000000, 0.009900990,0.657173861
29,basement,87,0.148000000, 0.010954287,0.610386039
30,basement,91,0.156000000, 0.011796924,0.716172976
16,basket,196,0.218000000, 0.012850221,0.065286807
17,basket,223,0.238000000, 0.014746155,0.075969094
18,basket,246,0.240000000, 0.016642090,0.129735564
19,basket,268,0.258000000, 0.018748683,0.171602671
20,basket,279,0.266000000, 0.020223299,0.191535482
21,basket,307,0.288000000, 0.022329893,0.222378607
22,basket,340,0.316000000, 0.024857805,0.326575067
23,basket,380,0.340000000, 0.027175058,0.384770902
24,basket,518,0.400000000, 0.038971982,0.426131888
25,basket,545,0.412000000, 0.041499895,0.478175318
26,basket,578,0.416000000, 0.043606488,0.551310641
27,basket,606,0.422000000, 0.045502423,0.578884815
28,basket,633,0.436000000, 0.048240994,0.702239253
29,basket,666,0.446000000, 0.051400885,0.645850351
30,basket,700,0.464000000, 0.054771435,0.754530679
16,bat,58,0.126000000, 0.004002528,0.114268903
17,bat,70,0.138000000, 0.004634506,0.128451151
18,bat,132,0.176000000, 0.005898462,0.174477483
19,bat,134,0.178000000, 0.006109122,0.221794695
20,bat,150,0.182000000, 0.007373078,0.237332140
21,bat,161,0.196000000, 0.008847693,0.271472467
22,bat,194,0.226000000, 0.010743628,0.372512821
23,bat,205,0.236000000, 0.012218243,0.422742191
24,bat,236,0.256000000, 0.015378134,0.469146158
25,bat,243,0.258000000, 0.016010112,0.518520488
26,bat,246,0.260000000, 0.016642090,0.587381412
27,bat,265,0.268000000, 0.017695387,0.613937576
28,bat,289,0.280000000, 0.018748683,0.738653572
29,bat,301,0.282000000, 0.019801980,0.677156814
30,bat,319,0.282000000, 0.020855277,0.776839667
16,be,2827,0.652000000, 0.138824521,0.058971132
17,be,2997,0.670000000, 0.147461555,0.066387719
18,be,3362,0.706000000, 0.168948810,0.111901570
19,be,3652,0.728000000, 0.181167053,0.151550119
20,be,3972,0.732000000, 0.196334527,0.171678014
21,be,4351,0.754000000, 0.207920792,0.197411292
22,be,4720,0.776000000, 0.223088266,0.300144494
23,be,5051,0.790000000, 0.236570466,0.347518369
24,be,6044,0.814000000, 0.283126185,0.392146244
25,be,6594,0.830000000, 0.301032231,0.446272101
26,be,7220,0.850000000, 0.317463661,0.521823508
27,be,7745,0.856000000, 0.333052454,0.544565091
28,be,8384,0.870000000, 0.358331578,0.672049603
29,be,9419,0.880000000, 0.382136086,0.619151392
30,be,10235,0.892000000, 0.415209606,0.731010620
16,bead,13,0.036000000, 0.001474616,0.080020921
